"","x","y","cluster","arm","denom","num"
"1",-0.0714904564752032,-0.387388116459306,1,"control",1,0
"5",-0.0439570603161883,-0.369068116369363,1,"control",1,0
"9",0.0147180759468029,-0.345345476549483,1,"control",1,0
"15",0.0550125334927998,-0.339980171489287,1,"control",1,0
"18",0.0770466883947734,-0.323480902349274,1,"control",1,0
"24",0.111864523008819,-0.314406722179456,1,"control",1,0
"27",0.121017216754808,-0.314444050069369,1,"control",1,1
"29",0.131992932333787,-0.316332049459334,1,"control",1,0
"31",0.135691591523766,-0.307130935039368,1,"control",1,0
"32",0.139397765529793,-0.29608661170937,1,"control",1,1
"34",0.148512874853793,-0.305339977229323,1,"control",1,0
"35",0.150350928641785,-0.303504232619389,1,"control",1,0
"39",0.199918205805773,-0.268684771499466,1,"control",1,0
"54",-0.271019779042206,-0.386572938859445,2,"intervention",1,0
"56",-0.258168291647223,-0.377409263339359,2,"intervention",1,0
"68",-0.157714257912232,-0.433117012909406,2,"intervention",1,0
"81",-0.11744976918618,-0.435124712229481,2,"intervention",1,0
"85",0.3357249499158,0.265300962680612,3,"control",1,0
"91",0.255558272848816,0.357789682190514,3,"control",1,0
"94",0.348365780686777,0.222854970210619,3,"control",2,1
"96",0.357503319253794,0.219131263800591,3,"control",1,1
"98",0.361074229582812,0.196997855930704,3,"control",1,1
"100",0.370091634991809,0.163782832260722,3,"control",1,1
"101",0.377391167062797,0.158223382540655,3,"control",1,1
"104",0.333293590699782,0.117851793610726,3,"control",1,1
"106",0.304193113080771,0.164051339190564,3,"control",1,1
"108",0.264049521586799,0.195550023790702,3,"control",1,1
"111",0.143160404933781,0.177610627510603,3,"control",1,1
"113",0.163717136695766,0.280748195050592,3,"control",1,1
"114",0.165743153193773,0.32866416492061,3,"control",1,0
"115",0.163965283734797,0.341574096980594,3,"control",1,0
"116",0.187942330008809,0.385714036960508,3,"control",1,1
"118",0.367744857148807,0.486359101370681,3,"control",1,1
"119",0.365906846913788,0.484523352890619,3,"control",1,0
"121",0.441610514410797,0.644576636110514,4,"intervention",1,1
"122",0.456637371979809,0.73852056300052,4,"intervention",1,1
"124",0.454972083760765,0.779078585540674,4,"intervention",1,1
"125",0.456817586391765,0.782757543330717,4,"intervention",1,1
"127",0.49720084673379,0.810241613620519,4,"intervention",1,1
"128",0.449728448198812,0.839926808950622,4,"intervention",1,0
"129",0.452698577069782,0.670336799970528,4,"intervention",1,0
"130",0.430317139367787,1.46670705293059,4,"intervention",1,1
"133",0.461995626150781,1.15507057862055,4,"intervention",1,0
"134",0.439429057344796,1.00770346696072,4,"intervention",1,1
"137",0.481950506607802,1.11075154335072,4,"intervention",1,0
"138",0.48924985088081,1.10519208763071,4,"intervention",1,1
"142",0.572138876321787,1.23203785353053,4,"intervention",1,1
"148",0.576070050972817,1.29837840083064,4,"intervention",1,0
"153",0.543054209044783,1.28192374325067,4,"intervention",1,0
"154",0.581906760608774,1.3831435652105,4,"intervention",1,0
"163",0.55509574571181,1.54177125123056,4,"intervention",1,0
"165",0.533190462747768,1.55660641506051,4,"intervention",1,0
"166",0.348328230131813,0.213638931330706,5,"control",1,1
"169",0.368786766243772,0.292814824410698,5,"control",1,1
"170",0.386941673643776,0.25587609816057,5,"control",1,1
"173",0.28741798635582,0.0903901587805649,5,"control",1,1
"174",0.219876686091766,0.136746466010663,5,"control",1,1
"175",0.219884201742786,0.138589674610557,5,"control",1,0
"177",0.205194971155777,0.127590136440631,5,"control",1,1
"180",0.166814253304779,0.142492582340537,5,"control",1,1
"182",0.29819340096077,0.488485828630701,5,"control",2,1
"186",0.411721883802784,0.49723934694066,5,"control",1,1
"190",0.407685438153806,0.405093883200607,5,"control",1,1
"192",0.413214487900802,0.41428755038055,5,"control",1,1
"199",0.477312074685813,0.421399447240674,5,"control",1,1
"201",0.444085298583786,0.353334959470658,5,"control",1,1
"202",0.238955943181793,0.326522312610678,5,"control",1,1
"203",0.374691328926815,0.39416887491052,5,"control",1,0
"206",0.40563718761382,0.351648322010533,5,"control",1,0
"209",0.405554596463787,0.331373039630535,5,"control",1,1
